signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,stop_loss,take_profit,exit_price,exit_reason,atr,stop_distance,gross_pnl,fee,spread,net_pnl,r_multiple,oos_month
2025-04-07 13:32:00,2025-04-07 13:33:00,2025-04-07 14:10:00,ORCL,SHORT,144,122.4399,126.48719999999999,114.34530000000002,126.48719999999999,stop,1.349099999999996,4.0472999999999875,-582.811199999999,1.008,8.8156728,-592.634872799999,-1.0000000000000013,2025-04
2025-04-07 13:30:00,2025-04-07 13:31:00,2025-04-07 13:33:00,ANET,SHORT,296,59.52,61.45114285714286,55.657714285714285,61.45114285714286,stop,0.6437142857142862,1.9311428571428588,-571.6182857142863,2.072,8.80896,-582.4992457142863,-1.0000000000000002,2025-04
2025-04-07 13:31:00,2025-04-07 13:32:00,2025-04-07 13:33:00,ANET,SHORT,286,59.725,61.68402142857143,55.806957142857144,61.68402142857143,stop,0.6530071428571428,1.9590214285714285,-560.2801285714277,2.0020000000000002,8.540675000000002,-570.8228035714276,-0.9999999999999984,2025-04
2025-04-07 13:32:00,2025-04-07 13:33:00,2025-04-07 13:52:00,ANET,SHORT,277,61.77,63.75053571428572,57.80892857142858,63.75053571428572,stop,0.660178571428571,1.980535714285713,-548.608392857143,1.939,8.555145000000001,-559.102537857143,-1.0000000000000009,2025-04
2025-04-07 13:30:00,2025-04-07 13:31:00,2025-04-07 13:52:00,CCL,LONG,1328,15.1188,14.713714285714287,15.928971428571426,15.928971428571426,target,0.1350285714285709,0.40508571428571266,1075.9076571428536,9.296,10.0388832,1056.5727739428535,2.0000000000000013,2025-04
2025-04-08 13:35:00,2025-04-08 13:36:00,2025-04-08 14:36:00,UNH,LONG,24,567.21,544.3722300000001,612.8855400000001,567.135,time,7.6125900000000035,22.83777000000001,-1.8000000000010914,0.7,6.806520000000001,-9.306520000001093,-0.0032840334235805617,2025-04
2025-04-08 13:33:00,2025-04-08 13:34:00,2025-04-08 14:34:00,CCL,LONG,955,17.66,17.07515,18.829700000000003,17.93,time,0.1949500000000004,0.5848500000000012,257.84999999999957,6.6850000000000005,8.43265,242.73234999999957,0.4616568350859178,2025-04
2025-04-09 13:32:00,2025-04-09 13:33:00,2025-04-09 14:33:00,DVN,SHORT,674,26.235,27.07065,24.563699999999997,26.425,time,0.2785500000000002,0.8356500000000006,-128.06000000000085,4.718,8.841194999999999,-141.61919500000084,-0.2273679171902126,2025-04
2025-04-09 13:33:00,2025-04-09 13:34:00,2025-04-09 14:34:00,DVN,SHORT,656,26.0401,26.893964285714286,24.332371428571424,26.525,time,0.2846214285714291,0.8538642857142873,-318.0943999999998,4.5920000000000005,8.5411528,-331.2275527999998,-0.5678888414853467,2025-04
2025-04-09 13:30:00,2025-04-09 13:31:00,2025-04-09 14:31:00,HAL,LONG,1243,18.955,18.509285714285713,19.846428571428568,19.225,time,0.14857142857142844,0.4457142857142853,335.6100000000039,8.701,11.7805325,315.12846750000386,0.6057692307692384,2025-04
