symbol,type,horizon_sec,n_levels,mean_ret_bps,std_ret_bps,t_stat,p_value,sharpe,n_obs,win_rate
NVTS,resistance,300,2,-5.910090244431548,19.22107517210939,-11.619315356511835,0.0,-746.6630058291845,1428,0.3431372549019608
OCUL,resistance,30,1,39.54495332627406,115.36227747929676,10.19762133352387,0.0,832.4064660281841,885,0.592090395480226
OCUL,resistance,60,1,59.86288290119762,133.89547863746805,13.300358624078452,0.0,1085.6751939572998,885,0.6802259887005649
OCUL,resistance,120,1,78.62763114437622,177.6270945596806,13.168539624182298,0.0,1074.915136854747,885,0.7322033898305085
OCUL,resistance,300,1,167.8358258021808,234.84617219994396,21.26046794629095,0.0,1735.4391196208574,885,0.7694915254237288
PFE,support,30,2,0.04805742332988753,1.426782926593096,2.8564552017586338,0.004296287765999107,81.79199044539719,7192,0.06173526140155729
PFE,resistance,30,3,0.0948216898608214,1.5929416364159732,5.274702528549125,1.365199868708089e-07,144.54931098209133,7852,0.07361181864493123
PFE,support,60,2,0.06904952996845118,2.1169313518808437,2.7661695167745517,0.0056863848233073,79.20674217018264,7192,0.10539488320355951
PFE,resistance,60,3,0.1365411443329786,2.3153017932953674,5.21572681198819,1.8779169552729513e-07,143.2069611920478,7822,0.12912298644847864
PFE,support,120,2,0.03855832942582076,2.99277181747657,1.092620748306124,0.2745969515561917,31.28619897517604,7192,0.17547274749721914
PFE,resistance,120,3,0.21897823573452596,3.299972496192968,5.8462509216258605,5.231323374488284e-09,161.13831993363212,7762,0.20587477454264363
PFE,support,300,2,-0.1384710743839121,4.682866657596199,-2.5076799616072205,0.012174526917794193,-71.80512942531459,7192,0.26140155728587317
PFE,resistance,300,3,0.7324906950339256,5.213330697813145,12.234288788280686,0.0,341.18901241087843,7582,0.3732524399894487
RILY,support,30,1,0.901191240042506,53.71034700821043,1.2660992009730745,0.20552937382241554,40.74433203961519,5694,0.18651211801896733
RILY,support,60,1,1.7598861162303068,66.73869782553453,1.9845793076358254,0.047239478895912956,64.034649335155,5664,0.3019067796610169
RILY,support,120,1,3.4014626646577164,80.25101909373976,3.172957211788934,0.0015171037689678535,102.92558672129805,5604,0.4464668094218415
RILY,support,300,1,9.24754832890181,100.2734440995832,6.795800053219407,1.1926237775128357e-11,223.9488707222616,5430,0.5607734806629834
RIOT,support,30,4,0.3434480500481319,9.46130432952814,1.9961856824140942,0.046003267185653174,88.1491729593437,3024,0.3611111111111111
RIOT,resistance,30,7,-5.465929303222966,33.11259489050297,-7.263124202047621,5.455635943008019e-13,-400.84732840493285,1936,0.4132231404958678
