threshold,atr_stop_mult,r_target,max_hold_bars,trades,win_rate,total_pnl,sharpe,avg_r,stop_pct,target_pct,time_pct,max_dd
0.4,2.0,3.0,30,149,40.26845637583892,-224.67001419999724,-0.13783601701704465,0.053856081039528846,38.25503355704698,6.7114093959731544,54.36241610738255,-1106.5500891642837
0.4,2.0,2.0,20,149,47.651006711409394,-429.6277046000014,-0.32420184100131216,0.04184575431240996,30.201342281879196,12.751677852348994,57.04697986577181,-912.9596135500025
0.4,1.5,3.0,30,149,37.58389261744966,-680.4259987357254,-0.35450576470732653,0.05546262344113192,50.33557046979866,11.409395973154362,37.58389261744966,-2011.98239377859
0.5,1.5,2.0,10,95,41.05263157894737,-269.85316432858315,-0.3744147719809623,0.06190939841339523,26.31578947368421,12.631578947368421,61.05263157894737,-996.4111089714402
0.5,1.5,3.0,30,95,35.78947368421053,-414.77207270715724,-0.37493222603148785,0.06576575824560937,51.578947368421055,13.684210526315791,33.68421052631579,-2095.4172486000143
0.4,2.0,2.5,20,149,46.308724832214764,-575.0506202928632,-0.4076237556794431,0.036531084941728506,30.87248322147651,8.053691275167784,60.40268456375839,-1151.1671410357228
0.6,1.5,2.0,60,66,39.39393939393939,-221.02769210714732,-0.44993730526836856,0.06766958126939415,54.54545454545454,22.727272727272727,22.727272727272727,-1439.2721721071498
0.4,2.0,2.5,30,149,40.26845637583892,-709.177518242845,-0.47483802834973576,0.0343640777653778,38.25503355704698,10.06711409395973,51.006711409395976,-1470.0184651214206
0.4,1.5,2.0,10,149,42.281879194630875,-619.8849790285863,-0.5139032371135814,0.048945554851560956,29.53020134228188,12.080536912751679,58.38926174496645,-1069.9720081428763
0.5,2.0,2.5,30,95,37.89473684210527,-412.5221496857102,-0.515869387474038,0.04340344714158438,40.0,11.578947368421053,47.368421052631575,-1668.8100043285642
0.4,1.5,2.5,20,149,45.63758389261745,-852.9026731071554,-0.5246811906057852,0.044957435867752,44.29530201342282,12.080536912751679,43.624161073825505,-1734.6198536143054
0.5,1.5,2.5,20,95,43.15789473684211,-507.7817382142991,-0.5732612980534311,0.05449767901446055,42.10526315789473,13.684210526315791,44.21052631578947,-1890.0387060714465
