symbol,side,entry_time,entry_price,stop_price,target_price,stop_pct,target_pct,exit_time,exit_price,exit_reason,qty,pnl_gross,pnl_net,commission,duration_minutes
vz,SHORT,2024-05-17 18:20:00+00:00,39.915,40.023125,39.742,0.002708881372917478,0.004334210196667965,2024-05-17 19:30:00+00:00,39.92,OTHER,1,-0.10312499999999858,-0.11012499999999859,0.007000000000000006,70.0
czr,SHORT,2024-05-17 13:50:00+00:00,35.7,35.9375,35.32000000000001,0.00665266106442569,0.010644257703081104,2024-05-20 13:40:00+00:00,35.7,OTHER,1,0.37999999999999545,0.37299999999999545,0.007000000000000006,4310.0
eqt,LONG,2024-05-20 13:40:00+00:00,41.7393,41.61575,41.93698,0.0029600400581706356,0.004736064093073017,2024-05-20 14:00:00+00:00,41.7393,OTHER,1,0.3106999999999971,0.3036999999999971,0.007000000000000006,20.0
gm,SHORT,2024-05-20 13:40:00+00:00,45.8,45.8916,45.653439999999996,0.002,0.0032,2024-05-20 14:00:00+00:00,45.81,STOP,1,0.15656000000000603,0.14956000000000602,0.007000000000000006,20.0
intc,SHORT,2024-05-20 13:40:00+00:00,32.005,32.069010000000006,31.902584000000004,0.002,0.0032000000000000006,2024-05-20 14:00:00+00:00,32.005,STOP,1,-0.17999999999999972,-0.18699999999999972,0.007000000000000006,20.0
tfc,SHORT,2024-05-20 13:40:00+00:00,39.765,39.90775,39.5366,0.0035898403118320003,0.0057437444989312005,2024-05-20 14:00:00+00:00,39.77,OTHER,1,0.23340000000000316,0.22640000000000315,0.007000000000000006,20.0
czr,SHORT,2024-05-20 13:50:00+00:00,35.57,35.64114,35.456176,0.002,0.0032000000000000006,2024-05-20 14:10:00+00:00,35.57,STOP,1,0.11382400000000104,0.10682400000000103,0.007000000000000006,20.0
ccl,LONG,2024-05-20 13:50:00+00:00,15.69,15.644375,15.762999999999998,0.002907903123008245,0.004652644996813192,2024-05-20 14:10:00+00:00,15.69,OTHER,1,-0.054999999999999716,-0.061999999999999715,0.006999999999999999,20.0
gm,LONG,2024-05-20 14:00:00+00:00,45.7425,45.651015,45.888876,0.002,0.0032,2024-05-20 14:20:00+00:00,45.7425,OTHER,1,-0.18249999999999744,-0.18949999999999745,0.007000000000000006,20.0
nem,SHORT,2024-05-20 14:00:00+00:00,44.01,44.1691125,43.75542,0.0036153715064757806,0.00578459441036125,2024-05-20 14:20:00+00:00,44.01,OTHER,1,-0.1591124999999991,-0.1661124999999991,0.007000000000000006,20.0
intc,LONG,2024-05-20 14:00:00+00:00,32.21,32.14558,32.313072000000005,0.002,0.0032000000000000006,2024-05-20 14:20:00+00:00,32.21,OTHER,1,-0.06441999999999837,-0.07141999999999837,0.007000000000000006,20.0
luv,LONG,2024-05-20 14:00:00+00:00,27.695,27.63961,27.783624000000003,0.002,0.0032,2024-05-20 14:20:00+00:00,27.695,OTHER,1,0.08862400000000292,0.08162400000000292,0.007000000000000006,20.0
ccl,SHORT,2024-05-20 14:10:00+00:00,15.705,15.750668618546843,15.631930210325049,0.002907903123008245,0.004652644996813192,2024-05-20 14:30:00+00:00,15.705,OTHER,1,-0.04566861854684312,-0.05266861854684312,0.006999999999999999,20.0
czr,LONG,2024-05-20 14:10:00+00:00,35.54,35.46892,35.653728,0.002,0.0032000000000000006,2024-05-20 14:30:00+00:00,35.54,OTHER,1,-0.13000000000000256,-0.13700000000000256,0.007000000000000006,20.0
eqt,SHORT,2024-05-20 14:00:00+00:00,42.165,42.289810089052764,41.96530385751557,0.0029600400581706356,0.004736064093073017,2024-05-20 15:00:00+00:00,42.165,OTHER,1,-0.12481008905276525,-0.13181008905276526,0.007000000000000006,60.0
nem,LONG,2024-05-20 14:20:00+00:00,44.17,44.010309040558965,44.42550553510566,0.0036153715064757806,0.00578459441036125,2024-05-20 15:00:00+00:00,44.165,OTHER,1,0.26050553510565777,0.25350553510565776,0.007000000000000006,40.0
tfc,LONG,2024-05-20 14:00:00+00:00,39.63,39.487734628442105,39.85762459449265,0.0035898403118320003,0.0057437444989312005,2024-05-20 15:10:00+00:00,39.625,OTHER,1,0.23262459449264838,0.22562459449264838,0.007000000000000006,70.0
csco,SHORT,2024-05-20 13:40:00+00:00,47.67,47.831775,47.41116,0.00339364380113276,0.005429830081812416,2024-05-20 15:20:00+00:00,47.67,OTHER,1,0.2588399999999993,0.2518399999999993,0.007000000000000006,100.0
tfc,SHORT,2024-05-21 13:40:00+00:00,39.36,39.438719999999996,39.234048,0.002,0.0032,2024-05-21 14:00:00+00:00,39.37,STOP,1,0.18499999999999517,0.17799999999999516,0.007000000000000006,20.0
rf,SHORT,2024-05-21 13:40:00+00:00,20.01,20.05002,19.945968,0.002,0.0032000000000000006,2024-05-21 14:00:00+00:00,20.01,STOP,1,0.11500000000000199,0.10800000000000198,0.007000000000000006,20.0
t,SHORT,2024-05-21 13:40:00+00:00,17.335,17.3917875,17.24414,0.0032758869339485812,0.0052414190943177305,2024-05-21 14:00:00+00:00,17.335,OTHER,1,0.09085999999999927,0.08385999999999927,0.007000000000000006,20.0
aes,SHORT,2024-05-21 13:40:00+00:00,21.251,21.293502,21.1829968,0.002,0.0032000000000000006,2024-05-21 14:00:00+00:00,21.255,STOP,1,0.07200319999999749,0.06500319999999749,0.007000000000000006,20.0
vz,SHORT,2024-05-21 13:40:00+00:00,39.78,39.89532500000001,39.59548,0.002899069884363966,0.004638511814982346,2024-05-21 14:00:00+00:00,39.79,OTHER,1,0.19451999999999714,0.18751999999999713,0.007000000000000006,20.0
csco,SHORT,2024-05-21 13:40:00+00:00,47.045,47.13909,46.894456000000005,0.002,0.0032,2024-05-21 14:00:00+00:00,47.045,STOP,1,0.15054399999999646,0.14354399999999645,0.007000000000000006,20.0
pltr,SHORT,2024-05-21 13:40:00+00:00,21.23,21.30725,21.1064,0.003638718794159179,0.005821950070654687,2024-05-21 14:00:00+00:00,21.2362,OTHER,1,-0.07104999999999961,-0.07804999999999962,0.007000000000000006,20.0
cmcsa,SHORT,2024-05-21 13:40:00+00:00,39.54,39.61908,39.413472,0.002,0.0032,2024-05-21 14:00:00+00:00,39.55,STOP,1,-0.06907999999999959,-0.07607999999999959,0.007000000000000006,20.0
vz,LONG,2024-05-21 14:00:00+00:00,39.47,39.35557371166416,39.65308206133735,0.002899069884363966,0.004638511814982346,2024-05-21 14:20:00+00:00,39.465,OTHER,1,-0.10942628833584678,-0.11642628833584678,0.007000000000000006,20.0
t,LONG,2024-05-21 14:00:00+00:00,17.235,17.178540088693396,17.325335858090565,0.0032758869339485812,0.0052414190943177305,2024-05-21 14:20:00+00:00,17.235,OTHER,1,-0.07489999999999952,-0.08189999999999953,0.007000000000000006,20.0
cmcsa,LONG,2024-05-21 14:00:00+00:00,39.58,39.50084,39.706656,0.002,0.0032,2024-05-21 14:20:00+00:00,39.58,OTHER,1,-0.10499999999999687,-0.11199999999999688,0.007000000000000006,20.0
aes,LONG,2024-05-21 14:00:00+00:00,21.265,21.22247,21.333048,0.002,0.0032000000000000006,2024-05-21 14:20:00+00:00,21.265,OTHER,1,-0.04252999999999929,-0.04952999999999929,0.006999999999999999,20.0
ccl,SHORT,2024-05-21 13:40:00+00:00,15.985,16.0588625,15.866819999999999,0.00462073819205509,0.007393181107288144,2024-05-21 14:30:00+00:00,15.9893,OTHER,1,-0.06956249999999997,-0.07656249999999998,0.007000000000000006,50.0
csco,LONG,2024-05-21 14:00:00+00:00,46.855,46.761289999999995,47.004936,0.002,0.0032,2024-05-21 14:40:00+00:00,46.855,OTHER,1,0.14993600000000384,0.14293600000000384,0.007000000000000006,40.0
rf,LONG,2024-05-21 14:00:00+00:00,19.925,19.88515,19.988760000000003,0.002,0.0032000000000000006,2024-05-21 14:40:00+00:00,19.925,OTHER,1,0.06376000000000204,0.05676000000000204,0.006999999999999999,40.0
tfc,LONG,2024-05-21 14:00:00+00:00,39.355,39.276289999999996,39.480936,0.002,0.0032,2024-05-21 15:00:00+00:00,39.355,OTHER,1,-0.07871000000000095,-0.08571000000000095,0.007000000000000006,60.0
nem,LONG,2024-05-21 13:40:00+00:00,44.05,43.83202,44.39876799999999,0.0049484676503972124,0.007917548240635541,2024-05-21 15:50:00+00:00,44.05,OTHER,1,-0.21797999999999718,-0.22497999999999718,0.007000000000000006,130.0
pltr,LONG,2024-05-21 14:00:00+00:00,21.2803,21.202866972444653,21.404192844088552,0.003638718794159179,0.005821950070654687,2024-05-21 15:50:00+00:00,21.2803,OTHER,1,-0.07743302755534742,-0.08443302755534743,0.007000000000000006,110.0
vz,LONG,2024-05-22 13:40:00+00:00,39.991,39.911018,40.118971200000004,0.002,0.0032,2024-05-22 14:00:00+00:00,39.9909,OTHER,1,-0.0798820000000049,-0.0868820000000049,0.007000000000000006,20.0
t,SHORT,2024-05-22 13:40:00+00:00,17.38,17.414759999999998,17.324384,0.002,0.0032,2024-05-22 14:00:00+00:00,17.38,STOP,1,0.055616000000000554,0.048616000000000555,0.006999999999999999,20.0
