symbol,side,entry_time,entry_price,stop_price,target_price,stop_pct,target_pct,exit_time,exit_price,exit_reason,qty,pnl_gross,pnl_net,commission,duration_minutes
ccl,SHORT,2024-05-08 13:40:00+00:00,14.045,14.074484748118778,13.997824403009954,0.0020993056688344254,0.003358889070135081,2024-05-08 13:47:00+00:00,14.05,STOP,1,-0.019999999999999574,-0.026999999999999573,0.006999999999999999,7.0
csco,SHORT,2024-05-08 13:40:00+00:00,47.445,47.53989,47.293176,0.002,0.0032000000000000006,2024-05-08 13:53:00+00:00,47.445,STOP,1,-0.09499999999999886,-0.10199999999999887,0.007000000000000006,13.0
tfc,SHORT,2024-05-08 13:50:00+00:00,38.91,38.98782,38.785488,0.002,0.0032,2024-05-08 13:54:00+00:00,38.91,STOP,1,-0.09000000000000341,-0.09700000000000342,0.007000000000000006,4.0
pfe,SHORT,2024-05-08 13:40:00+00:00,27.839,27.950468597069925,27.66065024468812,0.00400404458026238,0.006406471328419808,2024-05-08 14:03:00+00:00,27.83,STOP,1,-0.1493000000000002,-0.15630000000000022,0.007000000000000006,23.0
ccl,LONG,2024-05-08 14:00:00+00:00,14.105,14.075389293541091,14.152377130334255,0.0020993056688344254,0.003358889070135081,2024-05-08 14:05:00+00:00,14.1099,STOP,1,-0.02999999999999936,-0.03699999999999936,0.006999999999999999,5.0
eqt,LONG,2024-05-08 14:00:00+00:00,40.03,39.94994,40.15809600000001,0.002,0.0032,2024-05-08 14:06:00+00:00,40.04,STOP,1,-0.09499999999999886,-0.10199999999999887,0.007000000000000006,6.0
aes,SHORT,2024-05-08 13:40:00+00:00,18.55,18.612425478823848,18.450119233881846,0.0033652549231183923,0.005384407876989428,2024-05-08 14:08:00+00:00,18.55,STOP,1,-0.07000000000000028,-0.07700000000000029,0.007000000000000006,28.0
dvn,LONG,2024-05-08 13:40:00+00:00,50.5,50.26039541999803,50.88336732800315,0.0047446451485538685,0.0075914322376861906,2024-05-08 14:10:00+00:00,50.49,TARGET,1,0.3999999999999986,0.3929999999999986,0.007000000000000006,30.0
nem,SHORT,2024-05-08 13:50:00+00:00,41.22,41.378224270631065,40.96684116699029,0.0038385315533980176,0.006141650485436828,2024-05-08 14:10:00+00:00,41.225,STOP,1,-0.1599999999999966,-0.1669999999999966,0.007000000000000006,20.0
csco,LONG,2024-05-08 14:00:00+00:00,47.47,47.37506,47.621904,0.002,0.0032000000000000006,2024-05-08 14:12:00+00:00,47.47,TARGET,1,0.15500000000000114,0.14800000000000113,0.007000000000000006,12.0
