sweep_id,entries,rejections,trades_per_day,avg_r_multiple,hit_rate,metric_total_return,metric_annualized_return,metric_volatility,metric_sharpe_ratio,metric_max_drawdown,metric_max_drawdown_duration,metric_total_commissions,metric_total_slippage,metric_fill_rate,metric_total_trades,metric_win_rate,metric_profit_factor,metric_winning_trades,metric_losing_trades,param_param_bigmove_policy.probability_threshold,param_param_score_margin,param_param_prob_threshold_long,param_param_max_open_positions_global
39,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.0,0.55,3
40,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.0,0.6,2
41,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.0,0.6,3
42,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.02,0.5,2
43,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.02,0.5,3
44,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.02,0.55,2
45,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.02,0.55,3
46,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.02,0.6,2
47,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.02,0.6,3
48,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.1,0.5,2
49,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.1,0.5,3
50,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.1,0.55,2
51,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.1,0.55,3
52,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.1,0.6,2
53,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.1,0.6,3
54,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.05,0.5,2
55,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.05,0.5,3
56,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.05,0.55,2
57,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.05,0.55,3
58,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.05,0.6,2
59,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,-0.05,0.6,3
60,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.0,0.5,2
61,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.0,0.5,3
62,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.0,0.55,2
63,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.0,0.55,3
64,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.0,0.6,2
65,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.0,0.6,3
66,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.02,0.5,2
67,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.02,0.5,3
68,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.02,0.55,2
69,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.02,0.55,3
70,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.02,0.6,2
71,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.35,0.02,0.6,3
72,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.1,0.5,2
73,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.1,0.5,3
74,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.1,0.55,2
75,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.1,0.55,3
76,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.1,0.6,2
77,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.1,0.6,3
78,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.05,0.5,2
79,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.05,0.5,3
80,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.05,0.55,2
81,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.05,0.55,3
82,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.05,0.6,2
83,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,-0.05,0.6,3
84,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,0.0,0.5,2
85,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,0.0,0.5,3
86,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,0.0,0.55,2
87,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,0.0,0.55,3
88,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.45,0.0,0.6,2
