signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,exit_price,gross_pnl,fee,spread,net_pnl,hour
2025-07-10 14:25:00,2025-07-10 14:26:00,2025-07-10 14:31:00,FCX,LONG,2040,46.435,46.615,367.1999999999994,14.280000000000001,47.36370000000001,305.5562999999994,14
2025-07-10 14:26:00,2025-07-10 14:27:00,2025-07-10 14:32:00,FCX,LONG,2066,46.43,46.6,351.22000000000355,14.462,47.96219000000001,288.79581000000354,14
2025-07-10 14:27:00,2025-07-10 14:28:00,2025-07-10 14:33:00,FCX,LONG,2082,46.415,46.61,405.9900000000006,14.574,48.318015,343.09798500000056,14
2025-07-10 13:30:00,2025-07-10 13:31:00,2025-07-10 13:36:00,USO,SHORT,2220,75.47,75.26,466.1999999999861,15.540000000000001,83.7717,366.8882999999861,13
2025-07-10 13:31:00,2025-07-10 13:32:00,2025-07-10 13:37:00,USO,SHORT,2050,75.49,75.23,532.9999999999814,14.35,77.37725,441.27274999998133,13
2025-07-10 13:32:00,2025-07-10 13:33:00,2025-07-10 13:38:00,USO,SHORT,2067,75.4798,75.26,454.32659999998396,14.469,78.00837329999999,361.849226699984,13
2025-07-18 14:02:00,2025-07-18 14:03:00,2025-07-18 14:08:00,NXPI,LONG,453,225.425,225.47,20.384999999994335,3.1710000000000003,51.05876250000001,-33.84476250000567,14
2025-07-18 14:03:00,2025-07-18 14:04:00,2025-07-18 14:09:00,NXPI,LONG,444,225.375,225.32,-24.42000000000303,3.108,50.03325,-77.56125000000303,14
2025-07-18 14:04:00,2025-07-18 14:05:00,2025-07-18 14:10:00,NXPI,LONG,425,225.385,225.15,-99.87499999999372,2.975,47.8943125,-150.74431249999373,14
2025-07-18 14:05:00,2025-07-18 14:06:00,2025-07-18 14:11:00,NXPI,LONG,418,225.14,224.9,-100.31999999999192,2.926,47.05425999999999,-150.3002599999919,14
2025-07-22 13:30:00,2025-07-22 13:31:00,2025-07-22 13:36:00,LEN,SHORT,550,115.16,116.67,-830.5000000000028,3.85,31.669,-866.0190000000028,13
2025-07-22 13:30:00,2025-07-22 13:31:00,2025-07-22 13:36:00,SHW,SHORT,211,335.88,334.16,362.91999999999376,1.477,35.43534,326.0076599999938,13
2025-07-23 14:44:00,2025-07-23 14:46:00,2025-07-23 14:51:00,TECH,SHORT,2671,55.44,55.45,-26.710000000013665,18.697,74.04012,-119.44712000001367,14
2025-07-23 14:46:00,2025-07-23 14:47:00,2025-07-23 14:52:00,TECH,SHORT,2442,55.5,55.4401,146.27579999999745,17.094,67.7655,61.41629999999745,14
2025-07-23 14:47:00,2025-07-23 14:48:00,2025-07-23 14:53:00,TECH,SHORT,2113,55.4925,55.5475,-116.2149999999994,14.791,58.62782625,-189.6338262499994,14
2025-07-23 14:48:00,2025-07-23 14:49:00,2025-07-23 14:54:00,TECH,SHORT,1848,55.495,55.6,-194.04000000000735,12.936,51.27738,-258.2533800000074,14
2025-07-23 15:12:00,2025-07-23 15:13:00,2025-07-23 15:19:00,TECH,SHORT,1714,55.3325,55.225,184.25500000000292,11.998000000000001,47.4199525,124.83704750000294,15
