feature,correlation,abs_corr,p_value
macd_12_26_change_5,0.007972186358272586,0.007972186358272586,0.008022230722349125
macd_roc_5,0.007972186358272586,0.007972186358272586,0.008022230722349125
d1_close_ext_4,-0.007904742864880918,0.007904742864880918,0.00858518690891328
roc_ext_4,-0.007904739922123991,0.007904739922123991,0.008585211603528337
atr_ratio_20_60,-0.00789099044579264,0.00789099044579264,0.008685539619981902
d1_volume_3,0.007838058012426308,0.007838058012426308,0.009157262327303798
zscore_x_vol_10,-0.007814713536058521,0.007814713536058521,0.009358572481031918
momentum_ext_8,0.007727730314132711,0.007727730314132711,0.010208479735428353
double_bottom,-0.007686531481588171,0.007686531481588171,0.010582417036690881
rsi_14_lag_1,0.007605654529845638,0.007605654529845638,0.011434343021458477
ret_5_lag_1,0.007591403643875132,0.007591403643875132,0.011609257491782089
volatility_pctl_cross_10,0.007460887590778624,0.007460887590778624,0.013106547626120483
ma_ratio_10_50,0.007417038751207355,0.007417038751207355,0.01364140119431249
vol_accel_10,0.007369675279208056,0.007369675279208056,0.014367713970163929
vol_pctl_cross_10,0.007346708559974928,0.007346708559974928,0.014558438910810847
vol_pctl_cross_20,0.007346708559974928,0.007346708559974928,0.014558438910810847
vol_pctl_cross_60,0.007346708559974928,0.007346708559974928,0.014558438910810847
rank_volume,0.007346708559974928,0.007346708559974928,0.014558438910810847
vol_pctl_cross_30,0.007346708559974928,0.007346708559974928,0.014558438910810847
bb_position_20_change_10,-0.007336922126303955,0.007336922126303955,0.01470596919928694
vol_std_30,0.007272570957498512,0.007272570957498512,0.015589646627619433
vol_zscore_10,0.007200106997517823,0.007200106997517823,0.016652764846913203
close_vs_low_5,-0.00713199158016878,0.00713199158016878,0.0177029184633092
ret_skew_30,-0.007123125745457457,0.007123125745457457,0.017878289614714982
vol_accel_5,0.007118511938166296,0.007118511938166296,0.017986335802153083
bb_width_roc_5,-0.00707531649974325,0.00707531649974325,0.01862954183976951
range_position_10,-0.007074880612892172,0.007074880612892172,0.018633606695130957
rsi_14_slope,-0.007060589504843465,0.007060589504843465,0.018888156325346947
rsi_14_change_3,-0.007060589504843465,0.007060589504843465,0.018888156325346947
breakout_regime,-0.007059393700796879,0.007059393700796879,0.018893248498251462
up_streak_30,0.006937179841749418,0.006937179841749418,0.02105555117727946
rsi_5,-0.006900845505662038,0.006900845505662038,0.02174639017752366
d1_volume_10,0.006835043247017656,0.006835043247017656,0.023105616994601726
ema_ratio_10_50,0.006808294671449055,0.006808294671449055,0.023566452050447863
volatility_contraction_30,-0.0068019302281722895,0.0068019302281722895,0.02374751115994969
vol_std_20,0.006631650381375556,0.006631650381375556,0.02743656122730323
rsi_5_extreme,-0.0066061058023070785,0.0066061058023070785,0.028028701225524883
expansion_score_30,-0.006604977031490293,0.006604977031490293,0.02805552859463988
vol_zscore_30,0.006601744956413504,0.006601744956413504,0.028141716506259407
zscore_20_lag_3,0.0065385231951581154,0.0065385231951581154,0.029686229872264568
vwap_dist,-0.0065141938666398195,0.0065141938666398195,0.030286885396919424
rsi_14_lag_3,0.006496605557122017,0.006496605557122017,0.03074847380599486
vol_ratio_tf_5_20,0.00645783227840756,0.00645783227840756,0.03176765360695123
vol_regime,0.00645783227840756,0.00645783227840756,0.03176765360695123
ema_ratio_5_50,0.006444285612334371,0.006444285612334371,0.032107525631054235
vol_weighted_ret_10,0.006387217087303541,0.006387217087303541,0.03376710564180277
d1_volume_1,0.0062524412291614625,0.0062524412291614625,0.03760380324969125
ma_slope_100,0.006189865793485044,0.006189865793485044,0.03955050204634973
macd_signal_12_26,0.00608799537255218,0.00608799537255218,0.042910345403432026
ret_60,0.006007718697148534,0.006007718697148534,0.046499938685642395
log_ret_60,0.006007718697148534,0.006007718697148534,0.046499938685642395
regime_trend_20,-0.005956516753072853,0.005956516753072853,0.04786925309591128
price_pctl_20,-0.005927950828042284,0.005927950828042284,0.04868301644654634
bb_width_roc_10,-0.005769240273547371,0.005769240273547371,0.055050001381527235
zscore_20_lag_5,0.005756796358210884,0.005756796358210884,0.05558404860654311
consec_down_5,0.005725366297361834,0.005725366297361834,0.05691198878116985
down_streak_30,-0.005678659029791608,0.005678659029791608,0.05896512657313756
ret_120,0.005648934030226431,0.005648934030226431,0.06214340401462322
log_ret_120,0.005648934030226431,0.005648934030226431,0.06214340401462322
trend_strength_20,0.005600087215110548,0.005600087215110548,0.06286669726269767
macd_signal_5_35,0.005580621129402951,0.005580621129402951,0.06347494358606542
rsi_21_extreme,0.005538990939524388,0.005538990939524388,0.06547433884220621
near_low_20,-0.005537168402216365,0.005537168402216365,0.06556304395379196
zscore_20,-0.005443077499904357,0.005443077499904357,0.07029541260034973
bb_position_20,-0.005443071662085089,0.005443071662085089,0.0702957136475311
log_ret_30,0.005418291565006351,0.005418291565006351,0.07206835396338732
ret_30,0.005418291565006351,0.005418291565006351,0.07206835396338732
momentum_ext_4,-0.005384149574928677,0.005384149574928677,0.07343930078555422
