system,timestamp,symbol,side,quantity,price,order_ref,intent
l2-scalping,2026-01-15T14:42:05,INTC,BOT,20,49.93,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488125601,ENTRY
l2-scalping,2026-01-15T14:42:10,OCUL,SLD,78,12.59,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488129282,ENTRY
l2-scalping,2026-01-15T14:42:10,OCUL,SLD,78,12.6,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488130536,ENTRY
l2-scalping,2026-01-15T14:42:14,INTC,SLD,20,49.91,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488133985,ENTRY
l2-scalping,2026-01-15T14:42:16,INTC,SLD,20,49.88,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488136254,ENTRY
l2-scalping,2026-01-15T14:42:20,INTC,SLD,20,49.89,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488140188,ENTRY
l2-scalping,2026-01-15T14:42:23,INTC,BOT,20,49.94,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488143530,ENTRY
l2-scalping,2026-01-15T14:42:25,INTC,BOT,20,49.95,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488144959,ENTRY
l2-scalping,2026-01-15T14:42:26,INTC,BOT,20,49.93,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488146212,ENTRY
l2-scalping,2026-01-15T14:42:27,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488147001,ENTRY
l2-scalping,2026-01-15T14:42:34,INTC,SLD,20,49.86,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488154202,ENTRY
l2-scalping,2026-01-15T14:42:36,INTC,SLD,20,49.84,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488156207,ENTRY
l2-scalping,2026-01-15T14:42:38,INTC,BOT,20,49.92,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488158391,ENTRY
l2-scalping,2026-01-15T14:42:40,INTC,SLD,20,49.93,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488159645,ENTRY
l2-scalping,2026-01-15T14:42:53,INTC,BOT,19,50.07,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488172512,ENTRY
l2-scalping,2026-01-15T14:42:54,INTC,BOT,19,50.06,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488174001,ENTRY
l2-scalping,2026-01-15T14:42:55,INTC,BOT,19,50.04,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488174852,ENTRY
l2-scalping,2026-01-15T14:42:56,INTC,SLD,20,49.96,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488176223,ENTRY
l2-scalping,2026-01-15T14:42:58,INTC,SLD,20,49.99,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488178353,ENTRY
l2-scalping,2026-01-15T22:57:32.316000,INTC,SLD,19,50.04,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488180613,ENTRY
l2-scalping,2026-01-15T14:43:03,INTC,BOT,19,50.04,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488183559,ENTRY
l2-scalping,2026-01-15T14:43:05,INTC,BOT,19,50.03,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488184548,ENTRY
l2-scalping,2026-01-15T14:43:08,INTC,SLD,19,50.04,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488187707,ENTRY
l2-scalping,2026-01-15T14:43:09,INTC,SLD,19,50.03,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488188968,ENTRY
l2-scalping,2026-01-15T14:43:11,INTC,SLD,19,50.03,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488190936,ENTRY
l2-scalping,2026-01-15T14:43:12,INTC,BOT,19,50.04,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488192484,ENTRY
l2-scalping,2026-01-15T14:43:16,INTC,BOT,19,50.03,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488196304,ENTRY
l2-scalping,2026-01-15T14:43:21,INTC,SLD,19,50.03,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488200766,ENTRY
l2-scalping,2026-01-15T14:43:22,INTC,SLD,19,50.07,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488202545,ENTRY
l2-scalping,2026-01-15T14:43:23,INTC,SLD,19,50.07,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488203421,ENTRY
l2-scalping,2026-01-15T14:43:28,INTC,BOT,19,50.14,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488208042,ENTRY
l2-scalping,2026-01-15T14:43:29,INTC,BOT,19,50.13,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488208762,ENTRY
l2-scalping,2026-01-15T14:43:34,INTC,SLD,19,50.14,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488214579,ENTRY
l2-scalping,2026-01-15T14:43:38,INTC,SLD,19,50.17,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488217609,ENTRY
l2-scalping,2026-01-15T14:43:42,INTC,SLD,19,50.24,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488221716,ENTRY
l2-scalping,2026-01-15T22:57:32.320000,OCUL,BOT,79,12.59,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488300269,ENTRY
l2-scalping,2026-01-15T14:45:02,OCUL,BOT,79,12.59,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488301700,ENTRY
l2-scalping,2026-01-15T14:45:04,OCUL,BOT,79,12.59,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488303179,ENTRY
l2-scalping,2026-01-15T14:45:06,OCUL,BOT,79,12.59,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488305689,ENTRY
l2-scalping,2026-01-15T14:45:07,OCUL,BOT,79,12.61,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488306976,ENTRY
l2-scalping,2026-01-15T14:45:08,OCUL,BOT,21,12.61,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488308267,ENTRY
l2-scalping,2026-01-15T14:45:09,OCUL,BOT,58,12.61,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488308267,ENTRY
l2-scalping,2026-01-15T14:45:10,OCUL,BOT,79,12.53,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488309724,ENTRY
l2-scalping,2026-01-15T14:45:15,OCUL,BOT,79,12.54,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488315048,ENTRY
l2-scalping,2026-01-15T14:45:20,OCUL,SLD,78,12.52,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488319248,ENTRY
l2-scalping,2026-01-15T14:45:21,OCUL,SLD,78,12.52,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488320497,ENTRY
l2-scalping,2026-01-15T14:45:22,OCUL,SLD,78,12.52,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488321730,ENTRY
l2-scalping,2026-01-15T14:45:23,OCUL,SLD,64,12.52,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488323116,ENTRY
l2-scalping,2026-01-15T14:45:23,OCUL,SLD,14,12.52,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488323116,ENTRY
l2-scalping,2026-01-15T14:45:24,OCUL,SLD,78,12.52,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488324577,ENTRY
l2-scalping,2026-01-15T14:45:27,OCUL,BOT,79,12.55,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488326007,ENTRY
l2-scalping,2026-01-15T14:45:32,OCUL,SLD,78,12.48,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488332691,ENTRY
l2-scalping,2026-01-15T14:45:35,OCUL,SLD,78,12.49,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488334525,ENTRY
l2-scalping,2026-01-15T14:45:36,OCUL,SLD,78,12.49,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488335817,ENTRY
l2-scalping,2026-01-15T14:45:37,OCUL,SLD,78,12.49,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488337069,ENTRY
l2-scalping,2026-01-15T14:45:38,OCUL,SLD,78,12.52,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488338471,ENTRY
l2-scalping,2026-01-15T14:45:40,OCUL,SLD,78,12.53,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488340116,ENTRY
l2-scalping,2026-01-15T14:45:42,OCUL,SLD,78,12.53,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488341573,ENTRY
l2-scalping,2026-01-15T14:45:48,OCUL,BOT,79,12.55,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488348085,ENTRY
l2-scalping,2026-01-15T14:45:53,OCUL,BOT,79,12.55,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488352116,ENTRY
l2-scalping,2026-01-15T14:45:54,OCUL,BOT,79,12.55,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488353392,ENTRY
l2-scalping,2026-01-15T14:45:54,OCUL,BOT,79,12.53,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488354682,ENTRY
l2-scalping,2026-01-15T14:46:03,OCUL,BOT,21,12.53,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488362832,ENTRY
l2-scalping,2026-01-15T14:46:05,OCUL,BOT,80,12.52,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488364603,ENTRY
l2-scalping,2026-01-15T14:46:06,OCUL,BOT,79,12.53,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488365848,ENTRY
l2-scalping,2026-01-15T14:46:08,OCUL,BOT,79,12.44,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488367915,ENTRY
l2-scalping,2026-01-15T14:46:09,OCUL,BOT,79,12.42,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488369397,ENTRY
l2-scalping,2026-01-15T14:46:13,OCUL,SLD,78,12.41,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488372190,ENTRY
l2-scalping,2026-01-15T14:46:13,OCUL,SLD,17,12.41,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488373431,ENTRY
l2-scalping,2026-01-15T14:46:13,OCUL,SLD,61,12.41,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488373431,ENTRY
l2-scalping,2026-01-15T14:46:45,OCUL,SLD,79,12.46,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488403849,ENTRY
l2-scalping,2026-01-15T14:46:45,OCUL,SLD,79,12.46,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488405150,ENTRY
l2-scalping,2026-01-15T14:46:53,OCUL,BOT,80,12.5,L2SCALP_high_obi_depth_ENTRY_BUY_OCUL_1768488412021,ENTRY
